Страны пребывания;;Поездка;;;Виза;;;;;
;;Дата вьезда;Дата выезда;Даты поездки;Начало;Конец;Шенген;Доп инфо;Срок действия визы;
Турция;Turkey;30.09.2025;05.10.2024;30.09.2025-05.10.2024;;;Нет;;;
Турция;Turkey;08.10.2024;18.10.2024;08.10.2024-18.10.2024;;;Нет;;;
Китай;China;22.06.2024;28.06.2024;22.06.2024-28.06.2024;;;Нет;;;
Турция;Turkey;03.11.2023;06.11.2023;03.11.2023-06.11.2023;;;Нет;;;
Казахстан ;Kazakhstan ;14.05.2023;16.052023;14.05.2023-16.052023;;;Нет;;;
Казахстан ;Kazakhstan ;24 04.2023;25.04.2023;24 04.2023-25.04.2023;;;Нет;;;
Голандия;Netherlands;13.03.2020;15.02.2020;13.03.2020-15.02.2020;26.02.2018;25.02.2020;Да;(Германия);26.02.2018-25.02.2020(Германия);
Польша;Poland;15.10.2019;18.09.2019;15.10.2019-18.09.2019;26.02.2018;25.02.2020;Да;(Германия);26.02.2018-25.02.2020(Германия);
Италия;Italy;09.09.2019;23.09.2019;09.09.2019-23.09.2019;26.02.2018;25.02.2020;Да;(Германия);26.02.2018-25.02.2020(Германия);
Португалия;Portugal;19.03.2019;23.03.2019;19.03.2019-23.03.2019;26.02.2018;25.02.2020;Да;(Германия);26.02.2018-25.02.2020(Германия);
Германия;Germany;18.02.2019;22.02.2019;18.02.2019-22.02.2019;26.02.2018;25.02.2020;Да;(Германия);26.02.2018-25.02.2020(Германия);
Италия;Italy;02.02.2019;09.02.2019;02.02.2019-09.02.2019;26.02.2018;25.02.2020;Да;(Германия);26.02.2018-25.02.2020(Германия);
Испания;Spain;15.09.2018;29.09.2018;15.09.2018-29.09.2018;26.02.2018;25.02.2020;Да;(Германия);26.02.2018-25.02.2020(Германия);
Израиль;Israel;05.05.2018;13.05.2018;05.05.2018-13.05.2018;;;Нет;нет визы;нет визы;
Франция;France;24.04.2018;30.04.2017;24.04.2018-30.04.2017;26.02.2018;25.02.2020;Да;(Германия);26.02.2018-25.02.2020(Германия);
Германия;Germany;26.02.2018;02.03.2018;26.02.2018-02.03.2018;26.02.2018;25.02.2020;Да;(multi);26.02.2018-25.02.2020(multi);
Южная Корея;South Korea;10.04.2017;10.04.2017;10.04.2017-10.04.2017;;;Нет;нет визы;нет визы;
США;USA;14.01.2017;18.01.2017;14.01.2017-18.01.2017;02.12.2016;29.11.2019;Нет;;02.12.2016-29.11.2019;
Испания;Spain;24.08.2016;03.09.2016;24.08.2016-03.09.2016;22.02.2016;21.02.2017;Да;(Германия);22.02.2016-21.02.2017(Германия);
Китай;China;29.06.2016;08.07.2016;29.06.2016-08.07.2016;29.06.2016;29.07.2016;Нет;;29.06.2016-42580;
Германия;Germany;23.02.2016;26.02.2016;23.02.2016-26.02.2016;22.02.2016;21.02.2017;Да;(multi);22.02.2016-21.02.2017(multi);
Германия, Голандия, Бельгия;Germany, Netherlands,Belgum ;17.11.2015;20.11.2015;17.11.2015-20.11.2015;17.11.2015;16.02.2016;Да;(multi);17.11.2015-16.02.2016(multi);
Армения;Armenia;01.08.2015;10.08.2015;01.08.2015-10.08.2015;;;Нет;нет визы;нет визы;
Голандия, Бельгия, Люксембург Германия;Netherlands,Belgum, Luxemburg, Germany;16.09.2014;24.09.2014;16.09.2014-24.09.2014;11.06.2014;11.06.2015;Да;(Голландия);11.06.2014-11.06.2015(Голландия);
